,title,name,catogery,size,region,price,second_feature,third_feature,other
0,圣天地酒店式公寓 1室1厅 5500元,圣天地酒店式公寓,1室1厅,47平米,长寿路租房,5500,中楼层(共23层),中楼层(共23层),中楼层(共23层)
1,康桥宝邸 2室2厅 3600元,康桥宝邸,2室2厅,74平米,康桥租房,3600,低楼层(共6层),2004年建塔楼,2004年建塔楼
2,业主新挂牌，观苏州河美景，位置安静，精装拎包可入住,中远两湾城,2室2厅,84平米,中远两湾城租房,8200,高楼层(共34层),低楼层(共6层),低楼层(共6层)
3,长寿新村(普陀) 2室1厅 7000元,长寿新村(普陀),2室1厅,73平米,长寿路租房,7000,中楼层(共26层),2007年建板楼,2007年建板楼
4,婚房装修一室户带连体大阳台正南朝向阳光从早到晚！,中远两湾城,1室2厅,59平米,中远两湾城租房,7300,低楼层(共30层),高楼层(共34层),高楼层(共34层)
5,圣天地酒店式公寓 2室1厅 6600元,圣天地酒店式公寓,2室1厅,51平米,长寿路租房,6600,中楼层(共23层),2003年建板楼,2003年建板楼
6,解放新村 2室1厅 1600元,解放新村,2室1厅,53平米,南桥租房,1600,中楼层(共5层),中楼层(共26层),中楼层(共26层)
7,金硕河畔景园西区 2室1厅 2500元,金硕河畔景园西区,2室1厅,72平米,浦江租房,2500,中楼层(共6层),1995年建塔楼,1995年建塔楼
8,新领地 1室0厅 4300元,新领地,1室0厅,45平米,花木租房,4300,低楼层(共29层),低楼层(共30层),低楼层(共30层)
9,圣天地酒店式公寓 1室1厅 4800元,圣天地酒店式公寓,1室1厅,32平米,长寿路租房,4800,低楼层(共23层),2003年建板楼,2003年建板楼
10,由由二村 2室1厅 4500元,由由二村,2室1厅,61平米,北蔡租房,4500,低楼层(共6层),中楼层(共23层),中楼层(共23层)
11,万邦都市花园 1室1厅 6800元,万邦都市花园,1室1厅,57平米,北蔡租房,6800,低楼层(共11层),2004年建塔楼,2004年建塔楼
12,中福浦江汇 2室1厅 7200元,中福浦江汇,2室1厅,62平米,蓬莱公园租房,7200,低楼层(共33层),中楼层(共5层),中楼层(共5层)
13,万业紫辰苑 2室1厅 3500元,万业紫辰苑,2室1厅,68平米,杨行租房,3500,高楼层(共12层),板楼,板楼
14,同盛公寓 2室1厅 4300元,同盛公寓,2室1厅,82平米,南翔租房,4300,低楼层(共6层),中楼层(共6层),中楼层(共6层)
15,中环一号(二期) 2室1厅 4200元,中环一号(二期),2室1厅,75平米,大华租房,4200,中楼层(共18层),2010年建板楼,2010年建板楼
16,日月华庭 2室2厅 3800元,日月华庭,2室2厅,94平米,颛桥租房,3800,低楼层(共6层),低楼层(共29层),低楼层(共29层)
17,大华锦绣华城(十六街区)(公寓) 2室2厅 7500元,大华锦绣华城(十六街区)(公寓),2室2厅,97平米,北蔡租房,7500,高楼层(共20层),2002年建塔楼,2002年建塔楼
18,天钥新村 2室1厅 7300元,天钥新村,2室1厅,67平米,万体馆租房,7300,低楼层(共5层),低楼层(共23层),低楼层(共23层)
19,华光花园 2室2厅 8500元,华光花园,2室2厅,104平米,金虹桥租房,8500,中楼层(共13层),2004年建塔楼,2004年建塔楼
